Gene_symbol,gene_accession_id,analysis_id,pvalue,mouse_life_stage,parameter_id,parameter_name,parameter_description,parameter_group,mouse_strain
Cd209e,MGI:2157948,bly75po0402l7x7,0.744321,Early adult,IMPC_ABR_006_001,12kHz-evoked ABR Threshold,12khz_evoked_abr_threshold,Brain,C57BL
Cd209e,MGI:2157948,0h9bu806v6817r7,0.753992,Early adult,IMPC_ECH_011_001,LVIDs,NA,Echocardiography,C57BL
Cd209e,MGI:2157948,g1mf06z6992a8uc,0.758414,Early adult,IMPC_HEM_032_001,Lymphocyte cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd209e,MGI:2157948,8i66vyd6kl0tsur,0.759713,Early adult,IMPC_DXA_009_001,Fat/Body weight,Fat_body_weight,Weight,C57BL
Cd209e,MGI:2157948,59d315lek9l055u,0.776203,Early adult,JAX_OFD_010_001,Periphery distance travelled,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd209e,MGI:2157948,dj702kgq4046r12,0.780836,Early adult,CCP_XRY_027_001,Joints,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Cd209e,MGI:2157948,w7a2k48u99485h0,0.781031,Early adult,JAX_OFD_007_001,Whole arena resting time,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd209e,MGI:2157948,a1e6x285737kl9w,0.792709,Early adult,IMPC_OFD_050_001,Percentage center movement time,Percentage_center_movement_time,Activity/Movement,C57BL
Cd209e,MGI:2157948,471q1vm89i1ex0v,0.798838,Early adult,IMPC_CBC_003_001,Chloride,Chloride,CBC Chemistry,C57BL
Cd209e,MGI:2157948,4p986m753y27857,0.804272,Early adult,IMPC_CBC_026_001,Free fatty acids,Free_fatty_acids,CBC Chemistry,C57BL
Cd209e,MGI:2157948,8v6989qex4rb131,0.812015,Early adult,JAX_OFD_019_001,Number of center entries,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd209e,MGI:2157948,1b28gc198jwh7i8,0.823882,Early adult,IMPC_ABR_010_001,24kHz-evoked ABR Threshold,24khz_evoked_abr_threshold,Brain,C57BL
Cd209e,MGI:2157948,g1c06mg11qzwg30,0.830734,Early adult,ESLIM_011_001_010,PP4 + pulse startle magnitude,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Cd209e,MGI:2157948,bdc94lb8aw08r8j,0.835392,Early adult,IMPC_CBC_002_001,Potassium,Potassium,CBC Chemistry,C57BL
Cd209e,MGI:2157948,kw84u3tsn16682f,0.840546,Early adult,IMPC_EYE_016_001,Lens,Lens,Eye Morphology,C57BL
Cd209e,MGI:2157948,8g0f23td00l11lr,0.848149,Early adult,IMPC_EYE_056_001,Mean left eye lens density,NA,Eye Morphology,C57BL
Cd209e,MGI:2157948,9e11818l89szm4h,0.860977,Early adult,IMPC_ACS_034_001,% Pre-pulse inhibition - PPI2,Pre_pulse_inhibition_pp2,Brain,C57BL
Cd209e,MGI:2157948,d03k8504bs6p1q7,0.862494,Early adult,IMPC_OFD_021_001,Number of rears - total,Number_of_rears_total,Activity/Movement,C57BL
Cd209e,MGI:2157948,rz16s7xbxsc08w7,0.867348,Early adult,IMPC_CSD_061_001,Skin color - tail,Skin_color_tail,Images,C57BL
Cd209e,MGI:2157948,8251g80z767i5w8,0.882672,Early adult,ESLIM_007_001_005,Whole arena average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd209e,MGI:2157948,24mzi947d24h56z,0.890692,Early adult,IMPC_HEM_030_001,Neutrophil cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd209e,MGI:2157948,37q4b4xz21864y7,0.89075,Early adult,CCP_XRY_020_001,Processes on vertebrae,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Cd209e,MGI:2157948,24d914u5gp7z6zo,0.89357,Early adult,ESLIM_016_001_006,Mean corpuscular hemoglobin,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Cd209e,MGI:2157948,d4dg955v3ydvo36,0.902446,Early adult,HMGULA_CBC_015_001,Total cholesterol,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Cd209e,MGI:2157948,3u62nin85hk4lba,0.902843,Early adult,ESLIM_015_001_009,Calcium,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Cd209e,MGI:2157948,kbx451x7syz6220,0.910646,Early adult,IMPC_HEM_004_001,Hematocrit,Hematocrit,Hematology,C57BL
Cd209e,MGI:2157948,40sf8o5ykeh5kjt,0.914724,Early adult,IMPC_HEM_036_001,Eosinophil cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd209e,MGI:2157948,n0k8pi2646j5762,0.919988,Early adult,IMPC_IPG_010_001,Fasted blood glucose concentration,NA,CBC Chemistry,C57BL
Cd209e,MGI:2157948,usha9ryan3d3o96,0.930236,Early adult,IMPC_DXA_005_001,Bone Mineral Content (excluding skull),Bone_mineral_content_excluding_skull,Images,C57BL
Cd209e,MGI:2157948,8r006zj6n50wv48,0.940223,Early adult,CCP_XRY_064_001,Thoracic processes,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Cd209e,MGI:2157948,uk76m47b80901u3,0.940929,Early adult,IMPC_DXA_010_001,Bone Area,Bone_area_bmc_bmd,Images,C57BL
Cd209e,MGI:2157948,4aqaoe5362c1yd0,0.960746,Early adult,IMPC_HEM_002_001,Red blood cell count,Red_blood_cell_count,Hematology,C57BL
Cd209e,MGI:2157948,ul70079599c396x,0.9652,Early adult,IMPC_OFD_012_001,Periphery permanence time,Periphery_permanence_time,Activity/Movement,C57BL
Cd209e,MGI:2157948,do33odatwgiz018,0.96964,Early adult,IMPC_EYE_023_001,Optic Disc,Optic_disc,Eye Morphology,C57BL
Cd209e,MGI:2157948,16jb9f689bmrv34,0.97809,Early adult,JAX_OFD_013_001,Periphery average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd209e,MGI:2157948,nm5658t44f51y8h,0.984654,Early adult,IMPC_DXA_003_001,Lean mass,Lean_mass,Weight,C57BL
Cd209e,MGI:2157948,9540it018e8493z,0.988332,Early adult,IMPC_EYE_008_001,Corneal opacity,Corneal_opacity,Eye Morphology,C57BL
Cd209e,MGI:2157948,8c0w6k9kq76kv82,0.99088,Early adult,IMPC_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,Forelimb_and_hindlimb_grip_strength_normalised_against_body_weight,Activity/Movement,C57BL
Cd209e,MGI:2157948,810mfcs5262sz8q,0.99226,Early adult,IMPC_HWT_002_001,Tibia length,Tibia_length,Weight,C57BL
Cd209e,MGI:2157948,57qg79dcobm3vym,0.993264,Early adult,IMPC_GEL_027_001,Neural tube closure,Neural_tube_closure,Morphology/Development,C57BL
Cd27,MGI:88326,55y0qx3l9e24oh1,NULL,Early adult,JAX_OFD_011_001,Periphery resting time,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,cr3q2k5s09o736z,NULL,Early adult,IMPC_IPG_012_001,Area under glucose response curve,NA,CBC Chemistry,C57BL
Cd27,MGI:88326,h51t0m4ayt334vr,NULL,Early adult,JAX_OFD_013_001,Periphery average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,9a92alj63j8lp0f,0.00000152207,Early adult,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),NA,Immunology,C57BL
Cd27,MGI:88326,n017b626ze355i8,0.0000567943,Early adult,IMPC_ACS_035_001,% Pre-pulse inhibition - PPI3,Pre_pulse_inhibition_pp3,Brain,C57BL
Cd27,MGI:88326,8rfmsr3152xp0nx,0.0000977085,Early adult,CCP_XRY_031_001,Digit integrity,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Cd27,MGI:88326,ou32k40k89v371a,0.0581548,Early adult,IMPC_CBC_020_001,Fructosamine,Fructosamine,CBC Chemistry,C57BL
Cd27,MGI:88326,541p6gg31c939ye,0.0591489,Early adult,IMPC_ABR_002_001,Click-evoked ABR threshold,Click_evoked_abr_threshold,Brain,C57BL
Cd27,MGI:88326,752j1uh824dh581,0.059795,Early adult,M_G_P_016_001_006,Mean corpuscular hemoglobin,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Cd27,MGI:88326,ct857s2v9j1dd8v,0.0614454,Early adult,IMPC_OFD_020_001,Distance travelled - total,Distance_travelled_total,Activity/Movement,C57BL
Cd27,MGI:88326,18y9ow4c7428by3,0.061715,Early adult,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,Conditioning_baseline_freezing_time,Brain,C57BL
Cd27,MGI:88326,5d04a7h505ot5f0,0.0835505,Early adult,IMPC_EYE_083_001,Vitreous,NA,Eye Morphology,C57BL
Cd27,MGI:88326,p42mr9lai220y9l,0.0942205,Early adult,IMPC_GEL_024_001,Branchial arch morphology,Branchial_arch_morphology,Morphology/Development,C57BL
Cd27,MGI:88326,61ma1ay2v529w03,0.100622,Early adult,IMPC_OFD_012_001,Periphery permanence time,Periphery_permanence_time,Activity/Movement,C57BL
Cd27,MGI:88326,xan9m0a73c52418,0.112682,Early adult,CCP_XRY_064_001,Thoracic processes,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Cd27,MGI:88326,a2pb525hw550lgc,0.120238,Early adult,IMPC_HEM_005_001,Mean cell volume,Mean_cell_volume,Hematology,C57BL
Cd27,MGI:88326,91c056aaskwq6w4,0.121082,Early adult,ESLIM_011_001_008,PP2 + pulse startle magnitude,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Cd27,MGI:88326,07c4q65o1b17o06,0.126567,Early adult,IMPC_ECH_014_001,Body Temp,NA,Echocardiography,C57BL
Cd27,MGI:88326,k972gkl71nt9p74,0.12785,Early adult,IMPC_DXA_008_001,Lean/Body weight,Lean_body_weight,Weight,C57BL
Cd27,MGI:88326,8xodl47606tc848,0.133144,Early adult,ESLIM_018_001_002,T cell CD8+ percentage,generated during R cleaning due to missing Parameter ID metadata,Immunology,C57BL
Cd27,MGI:88326,uqp7zmnjo8kgn2w,0.135537,Early adult,IMPC_CSD_038_001,Trunk curl,Trunk_curl,Images,C57BL
Cd27,MGI:88326,i6um0913m8cji27,0.139748,Early adult,IMPC_DXA_007_001,BMC/Body weight,Bmc_body_weight,Weight,C57BL
Cd27,MGI:88326,d3ihyr5d3i3tq9o,0.140224,Early adult,ESLIM_011_001_010,PP4 + pulse startle magnitude,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Cd27,MGI:88326,5314325gj9p5al6,0.140443,Early adult,IMPC_EYE_057_001,Min right eye lens density,NA,Eye Morphology,C57BL
Cd27,MGI:88326,i0g9497b18749o8,0.153279,Early adult,IMPC_ACS_034_001,% Pre-pulse inhibition - PPI2,Pre_pulse_inhibition_pp2,Brain,C57BL
Cd27,MGI:88326,nf3y8h44d8c3wf5,0.159813,Early adult,CCP_XRY_060_001,Transitional vertebrae,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Cd27,MGI:88326,g0d7j8j0us42ttd,0.162531,Early adult,IMPC_EYE_025_001,Retinal Blood Vessels Structure,Retinal_blood_vessels_structure,Eye Morphology,C57BL
Cd27,MGI:88326,xl2r840c0uqnj6w,0.163685,Early adult,IMPC_OFD_007_001,Whole arena resting time,Whole_arena_resting_time,Activity/Movement,C57BL
Cd27,MGI:88326,57e0651b94l9uok,0.16848,Early adult,IMPC_ACS_006_001,Response amplitude - S,Response_amplitude_s,Brain,C57BL
Cd27,MGI:88326,mogv07o5697x34c,0.172468,Early adult,IMPC_OFD_014_001,Center distance travelled,Center_distance_travelled,Activity/Movement,C57BL
Cd27,MGI:88326,cj858op2ak64f9j,0.179032,Early adult,ESLIM_015_001_009,Calcium,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Cd27,MGI:88326,452p246439c0tv6,0.182814,Early adult,IMPC_EYE_026_001,Retinal Blood Vessels Pattern,Retinal_blood_vessels_pattern,Eye Morphology,C57BL
Cd27,MGI:88326,103p9r240l2kgl9,0.183374,Early adult,ESLIM_011_001_006,110dB startle magnitude,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Cd27,MGI:88326,154b8z6utkan50w,0.202902,Early adult,IMPC_CSD_039_001,Limb grasp,Limb_grasp,Images,C57BL
Cd27,MGI:88326,64qa7qe398roo2w,0.203187,Early adult,IMPC_HEM_032_001,Lymphocyte cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd27,MGI:88326,t3y70906wzc43r7,0.204782,Early adult,IMPC_EYE_088_001,Left vitreous humour thickness,NA,Eye Morphology,C57BL
Cd27,MGI:88326,m9103gcy865t63g,0.226565,Early adult,IMPC_CBC_026_001,Free fatty acids,Free_fatty_acids,CBC Chemistry,C57BL
Cd27,MGI:88326,du3mklglwz8nv4e,0.231543,Early adult,ESLIM_011_001_702,Prepulse inhibition - PP2,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Cd27,MGI:88326,kp9g3521p2d80pp,0.232698,Early adult,JAX_OFD_020_001,Distance travelled - total,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,0226xg6q577f5p5,0.235091,Early adult,ESLIM_015_001_015,Alkaline phosphatase,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Cd27,MGI:88326,pq35x6998e6888y,0.237104,Early adult,IMPC_ABR_008_001,18kHz-evoked ABR Threshold,18khz_evoked_abr_threshold,Brain,C57BL
Cd27,MGI:88326,w94t80f2qh7rulg,0.237278,Early adult,ESLIM_021_001_005,HDL-cholesterol,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Cd27,MGI:88326,1n42xw3tan7m1c7,0.241731,Early adult,TCP_CHL_072_001,PBS Inspiratory time,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,zx7vn60i4414co8,0.246613,Early adult,IMPC_HEM_019_001,Mean platelet volume,NA,Hematology,C57BL
Cd27,MGI:88326,6dtpdepjk20n897,0.255249,Early adult,ESLIM_011_001_009,PP3 + pulse startle magnitude,generated during R cleaning due to missing Parameter ID metadata,Brain,C57BL
Cd27,MGI:88326,3o5yl6031c53z8s,0.256612,Early adult,IMPC_EYE_015_001,Iris Pigmentation,Iris_pigmentation,Eye Morphology,C57BL
Cd27,MGI:88326,w2572hfp307e799,0.259284,Early adult,IMPC_DXA_004_001,Bone Mineral Density (excluding skull),Bone_mineral_density_excluding_skull,Images,C57BL
Cd27,MGI:88326,3v6obga00113r3d,0.295909,Early adult,JAX_OFD_007_001,Whole arena resting time,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,814233tb3p9w720,0.300011,Early adult,IMPC_OFD_021_001,Number of rears - total,Number_of_rears_total,Activity/Movement,C57BL
Cd27,MGI:88326,285n72ky2rip76s,0.303004,Early adult,IMPC_EYE_056_001,Mean left eye lens density,NA,Eye Morphology,C57BL
Cd27,MGI:88326,723d8720lia0cq8,0.304364,Early adult,IMPC_CBC_013_001,Alanine aminotransferase,Alanine_aminotransferase,CBC Chemistry,C57BL
Cd27,MGI:88326,5ne7zv02h984135,0.307393,Early adult,IMPC_CBC_018_001,Glucose,Glucose,CBC Chemistry,C57BL
Cd27,MGI:88326,c548vjcu2oz61jj,0.312339,Early adult,IMPC_CSD_033_001,Gait,Gait,Images,C57BL
Cd27,MGI:88326,68p3w7qv7m07ae6,0.318133,Early adult,IMPC_CBC_023_001,Alpha-amylase,Alpha_amylase,CBC Chemistry,C57BL
Cd27,MGI:88326,0y034bzaft285ld,0.327114,Early adult,ESLIM_016_001_006,Mean corpuscular hemoglobin,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Cd27,MGI:88326,b9vb6029u0618cc,0.331362,Early adult,IMPC_DXA_003_001,Lean mass,Lean_mass,Weight,C57BL
Cd27,MGI:88326,2ep984d0k070bq1,0.335919,Early adult,IMPC_EYE_008_001,Corneal opacity,Corneal_opacity,Eye Morphology,C57BL
Cd27,MGI:88326,82j5kzx0x21hq4r,0.343681,Early adult,ESLIM_021_001_001,Glucose,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Cd27,MGI:88326,4lm285gu956euiq,0.343931,Early adult,IMPC_HEM_007_001,Mean cell hemoglobin concentration,Mean_cell_hemoglobin_concentration,Hematology,C57BL
Cd27,MGI:88326,65qn7lqdfkgt4fq,0.348591,Early adult,ESLIM_016_001_003,Hemoglobin,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Cd27,MGI:88326,1e85w172t8913lk,0.351018,Early adult,IMPC_CBC_003_001,Chloride,Chloride,CBC Chemistry,C57BL
Cd27,MGI:88326,47yofg8b4851480,0.360121,Early adult,IMPC_OFD_050_001,Percentage center movement time,Percentage_center_movement_time,Activity/Movement,C57BL
Cd27,MGI:88326,977119b6270s9lb,0.368679,Early adult,M_G_P_016_001_005,Mean cell volume,generated during R cleaning due to missing Parameter ID metadata,Hematology,C57BL
Cd27,MGI:88326,3968684vuhwx9q0,0.375191,Early adult,IMPC_EYE_068_001,Left total retinal thickness,NA,Eye Morphology,C57BL
Cd27,MGI:88326,907z59sl3d74rqv,0.375526,Early adult,IMPC_CSD_013_001,Coat - hair distribution - abdomen,Coat_hair_distribution_abdomen,Images,C57BL
Cd27,MGI:88326,5787jd2pz181y96,0.375836,Early adult,IMPC_CBC_058_001,Cholesterol ratio,Tc/hdlc_ratio,CBC Chemistry,C57BL
Cd27,MGI:88326,uhzth610jk1jbfe,0.379161,Early adult,IMPC_GEL_063_001,Delayed embryonic development,NA,Morphology/Development,C57BL
Cd27,MGI:88326,88t53617j3mfl13,0.38041,Early adult,IMPC_EYE_017_001,Lens Opacity,Lens_opacity,Eye Morphology,C57BL
Cd27,MGI:88326,4z7yuvtuavp8i49,0.384105,Early adult,IMPC_CSD_028_001,Snout size,Snout_size,Images,C57BL
Cd27,MGI:88326,3m65bm4oc79a77n,0.391002,Early adult,IMPC_ABR_010_001,24kHz-evoked ABR Threshold,24khz_evoked_abr_threshold,Brain,C57BL
Cd27,MGI:88326,722vwl9jer5u0e1,0.394236,Early adult,HMGULA_OFD_010_001,Periphery distance travelled,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,7q3zi7nzn5251v9,0.397563,Early adult,ESLIM_007_001_006,Periphery distance travelled,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,l4ua12jo86931tf,0.410203,Early adult,HMGULA_OFD_013_001,Periphery average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,426u0e1f955v5dq,0.412534,Early adult,IMPC_HEM_029_001,Neutrophil differential count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd27,MGI:88326,26l520v4d97238i,0.412784,Early adult,IMPC_EYE_059_001,Mean right eye lens density,NA,Eye Morphology,C57BL
Cd27,MGI:88326,k87i71018i95y60,0.417727,Early adult,IMPC_OFD_010_001,Periphery distance travelled,Periphery_distance_travelled,Activity/Movement,C57BL
Cd27,MGI:88326,i12083ql41h521t,0.418542,Early adult,IMPC_HEM_004_001,Hematocrit,Hematocrit,Hematology,C57BL
Cd27,MGI:88326,06x7cww835n2i9o,0.419095,Early adult,IMPC_EYE_023_001,Optic Disc,Optic_disc,Eye Morphology,C57BL
Cd27,MGI:88326,49ljx9q3qs35199,0.421734,Early adult,HMGULA_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,0so918fa6z2ug6b,0.425128,Early adult,IMPC_EYE_070_001,Left outer nuclear layer,NA,Eye Morphology,C57BL
Cd27,MGI:88326,6i64139ej76kogo,0.427837,Early adult,IMPC_HEM_006_001,Mean corpuscular hemoglobin,Mean_corpuscular_hemoglobin,Hematology,C57BL
Cd27,MGI:88326,8ao9tybmhs8056h,0.431256,Early adult,IMPC_HEM_030_001,Neutrophil cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd27,MGI:88326,z5q98kus46sk25r,0.433154,Early adult,IMPC_GEL_032_001,Embryo Size,Embryo_size,Images,C57BL
Cd27,MGI:88326,3f944x4i70zg0y7,0.434683,Early adult,IMPC_CSD_036_001,Startle response,Startle_response,Images,C57BL
Cd27,MGI:88326,wpv39y77x1463ui,0.437971,Early adult,IMPC_HEM_034_001,Monocyte cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd27,MGI:88326,mb3l32716zd7pbs,0.442346,Early adult,IMPC_ABR_012_001,30kHz-evoked ABR Threshold,30khz_evoked_abr_threshold,Brain,C57BL
Cd27,MGI:88326,12xgr9m004sf49t,0.445058,Early adult,IMPC_GEP_004_002,Spontaneous movement,No_spontaneous_movement,Activity/Movement,C57BL
Cd27,MGI:88326,4ub41k4795so3th,0.457413,Early adult,IMPC_EYE_092_002,Retina (combined),NA,Eye Morphology,C57BL
Cd27,MGI:88326,4zh0ek74ya9106v,0.457535,Early adult,HMGULA_OFD_020_001,Distance travelled - total,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,5tej3b0r23657v3,0.462664,Early adult,CCP_XRY_020_001,Processes on vertebrae,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Cd27,MGI:88326,7ne019tvw16724k,0.465119,Early adult,M_G_P_025_001_002,Urea,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Cd27,MGI:88326,d41g80559nk7191,0.471644,Early adult,IMPC_FEA_015_001,Cue Baseline % Freezing Time,Cue_baseline_freezing_time,Brain,C57BL
Cd27,MGI:88326,86hev9nf705900i,0.473251,Early adult,IMPC_HEM_036_001,Eosinophil cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd27,MGI:88326,9yzk6iz2p4wr40c,0.474691,Early adult,ESLIM_005_001_002,Fat mass,generated during R cleaning due to missing Parameter ID metadata,Weight,C57BL
Cd27,MGI:88326,2q67t4ca0g025ai,0.476028,Early adult,JAX_OFD_019_001,Number of center entries,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,m568lq76p11201n,0.479516,Early adult,IMPC_HEM_037_001,Basophil cell count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd27,MGI:88326,3oi6t77skgd5u5s,0.484035,Early adult,ESLIM_018_001_003,T cell CD3+ percentage,generated during R cleaning due to missing Parameter ID metadata,Immunology,C57BL
Cd27,MGI:88326,85uui1q24363d41,0.484633,Early adult,M_G_P_008_001_012,Tail elevation,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Cd27,MGI:88326,hjwckhluo508z4w,0.484991,Early adult,IMPC_EYE_054_001,Min left eye lens density,NA,Eye Morphology,C57BL
Cd27,MGI:88326,95aoc02b745980r,0.485951,Early adult,MGP_CSD_004_001,Transfer arousal,generated during R cleaning due to missing Parameter ID metadata,Images,C57BL
Cd27,MGI:88326,r1t1c8db38yyc71,0.485956,Early adult,IMPC_XRY_033_001,Tibia length,Tibia_length,Images,C57BL
Cd27,MGI:88326,o490763y763sdoj,0.493636,Early adult,IMPC_HEM_031_001,Lymphocyte differential count,A_white_blood_cell_(wbc)_count_measures_the_number_of_white_blood_cells_in_your_blood._A_wbc_differential_determines_the_percentage_of_each_type_of_white_blood_cell_present_in_your_blood._A_differential_can_also_detect_immature_white_blood_cells_or_any_abnormalities_both_of_which_are_signs_of_a_potential_problem.,Hematology,C57BL
Cd27,MGI:88326,h25plnzmu2zq079,0.49404,Early adult,ESLIM_021_001_003,Triglycerides,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
Cd27,MGI:88326,5o55u9fe804h9m6,0.49664,Early adult,IMPC_OFD_009_001,Whole arena average speed,Whole_arena_average_speed,Activity/Movement,C57BL
Cd27,MGI:88326,2hx4bad8j40tq51,0.497425,Early adult,IMPC_OFD_016_001,Center permanence time,Center_permanence_time,Activity/Movement,C57BL
Cd27,MGI:88326,15kr17303y9298l,0.504519,Early adult,IMPC_HEM_027_001,Red blood cell distribution width,NA,Hematology,C57BL
Cd27,MGI:88326,t066814d91xcb26,0.508977,Early adult,JAX_OFD_010_001,Periphery distance travelled,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,y192c67sezp0d33,0.510051,Early adult,IMPC_CBC_007_001,Albumin,Albumin,CBC Chemistry,C57BL
Cd27,MGI:88326,00g0h8s8zk7m2jq,0.510439,Early adult,IMPC_CSD_062_001,Skin texture - whole body,Skin_texture_whole_body,Images,C57BL
Cd27,MGI:88326,5fnr6poib93d0dg,0.520515,Early adult,IMPC_EYE_067_001,Left anterior chamber depth,NA,Eye Morphology,C57BL
Cd27,MGI:88326,35y7p32e9q9y8n1,0.528266,Early adult,JAX_OFD_009_001,Whole arena average speed,generated during R cleaning due to missing Parameter ID metadata,Activity/Movement,C57BL
Cd27,MGI:88326,ix73a5kqk96irl6,0.543142,Early adult,IMPC_CBC_005_001,Creatinine,Creatinine_enzymatic_method_preferred,CBC Chemistry,C57BL
Cd27,MGI:88326,80g5t9i7a28u323,0.543764,Early adult,IMPC_HEM_001_001,White blood cell count,White_blood_cell_count,Hematology,C57BL
Cd27,MGI:88326,z3031i056i68inn,0.554173,Early adult,M_G_P_025_001_003,Creatinine,generated during R cleaning due to missing Parameter ID metadata,CBC Chemistry,C57BL
